Name,X,Y,Width,Height
Microsoft,82,58,57,18
Studio 3T,159,59,54,14
Edge,95,75,30,16
This PC,13,161,42,14
Person,83,161,40,14
VMware,163,161,46,14
p,98,218,30,34
Network,9,261,50,14
psiphonB.exe,72,259,75,19
GitHub,165,261,42,14
Desktop,163,277,46,14
Recycle Bin,3,363,64,14
Telegram,85,363,52,16
Control Panel mRemoteNG,0,463,147,14
WinSCP,163,463,46,14
Google,13,565,42,16
Postran,85,565,50,14
Chrome,11,579,46,14
E,86,614,48,48
Hotspot,10,664,49,18
Filezilla,89,665,44,14
Shield,15,681,36,14
Client,93,681,36,14
Power Bl,9,767,52,14
Typora,167,767,38,16
Desktop,10,780,47,17
VLC media,3,867,62,14
Docker,89,867,42,14
player,15,885,38,14
Desktop,87,883,46,14
Internet,13,971,44,12
psiphon3 e ,74,967,71,18
